

STATION ID,NUM BIKES AVAILABLE,NUM BIKES DISABLED,NUM DOCKS AVAILABLE,NUM DOCKS DISABLED,IS INSTALLED,IS RENTING,IS RETURNING,LAST REPORTED,EIGHTD HAS AVAILABLE KEYS
"72",26,1,12,"",1,1,1,"1473904929",""
"79",6,"",27,"",1,1,1,"1473905297",""
"82",9,1,17,"",1,1,1,"1473904726",""
"83",23,1,38,"",1,1,1,"1473905205",""
"116",5,"",34,"",1,1,1,"1473904514",""
"119",12,"",7,"",1,1,1,"1473905191",""
"120",8,1,10,"",1,1,1,"1473905240",""
"127",30,1,"","",1,1,1,"1473904003",""
"128",10,1,19,"",1,1,1,"1473904954",""
"137","","",46,"",1,1,1,"1473902673",""
"143","","",24,"",1,1,1,"1473903646",""
"144",18,"",1,"",1,1,1,"1473904372",""
"146",23,1,15,"",1,1,1,"1473905248",""
"147","",1,32,"",1,1,1,"1473904819",""
"150",30,1,"","",1,1,1,"1473904498",""
"151",4,2,27,"",1,1,1,"1473905279",""
"152",12,1,16,"",1,1,1,"1473905222",""
"153","",1,54,"",1,1,1,"1473903089",""
"157",10,"",13,"",1,1,1,"1473904750",""
"161",28,1,6,"",1,1,1,"1473905128",""
"164",1,"",46,"",1,1,1,"1473904919",""
"167",4,1,40,"",1,1,1,"1473905296",""
"168","","",47,"",1,1,1,"1473904499",""
"173","",2,49,"",1,1,1,"1473898981",""
"174",27,1,2,"",1,1,1,"1473905273",""
"195",2,1,42,"",1,1,1,"1473905208",""
"212",1,3,24,"",1,1,1,"1473904808",""
"216",11,"",12,"",1,1,1,"1473904270",""
"217",20,"",19,"",1,1,1,"1473903236",true
"223","","","","",1,"","","0",""
"224","","",31,"",1,1,1,"1473904713",""
"225","","",37,"",1,1,1,"1473905285",true
"228","",1,54,"",1,1,1,"1473905094",""
"229",11,2,10,"",1,1,1,"1473904901",""
"232",3,1,19,"",1,1,1,"1473904923",""
"236",35,"",4,"",1,1,1,"1473905246",""
"237",29,3,7,"",1,1,1,"1473905316",""
"238",30,1,"","",1,1,1,"1473901922",""
"239",12,"",19,"",1,1,1,"1473904915",""
"241",9,1,13,"",1,1,1,"1473904944",""
"242",6,1,16,"",1,1,1,"1473904216",""
"243",13,"",18,"",1,1,1,"1473903665",""
"244",25,"",6,"",1,1,1,"1473902912",""
"245",9,"",14,"",1,1,1,"1473902122",""
"247",20,"","","",1,1,1,"1473903848",""
"248",2,"",21,"",1,1,1,"1473905213",""
"249",4,"",23,"",1,1,1,"1473904964",""
"251",12,2,13,"",1,1,1,"1473904895",""
"252",27,"",6,"",1,1,1,"1473905240",""
"253",2,3,50,"",1,1,1,"1473905309",""
"254",10,"",21,"",1,1,1,"1473904402",""
"257",4,"",35,"",1,1,1,"1473905209",""
"258",8,"",15,"",1,1,1,"1473904017",""
"259","",1,38,"",1,1,1,"1473901168",""
"260","","",35,"",1,"","","1473824391",""
"261",9,1,17,"",1,1,1,"1473905132",""
"262",9,"",15,"",1,1,1,"1473903710",""
"263",2,3,40,"",1,1,1,"1473905255",""
"264",8,"",19,"",1,1,1,"1473904769",""
"265",30,"",5,"",1,1,1,"1473905273",""
"266",22,"",2,"",1,1,1,"1473904650",""
"267","","",56,1,1,1,1,"1473904745",""
"268",2,1,24,"",1,1,1,"1473905241",""
"270",20,"",3,"",1,1,1,"1473903178",""
"274",12,"",19,"",1,1,1,"1473903173",""
"275",14,"",5,"",1,1,1,"1473905152",""
"276",8,"",17,"",1,1,1,"1473905221",""
"278",15,3,1,"",1,1,1,"1473904163",""
"279",7,1,28,"",1,1,1,"1473905129",""
"280",1,1,29,"",1,1,1,"1473904934",""
"281","",1,58,"",1,1,1,"1473903946",true
"282",24,"",3,"",1,1,1,"1473904830",""
"284",18,4,21,"",1,1,1,"1473904988",""
"285",3,1,43,"",1,1,1,"1473905147",true
"289",15,"",4,"",1,1,1,"1473903586",""
"291",14,"",6,"",1,1,1,"1473904264",""
"295",22,"",2,"",1,1,1,"1473904950",""
"296",15,"",20,"",1,1,1,"1473905029",""
"297",19,2,6,"",1,1,1,"1473905312",""
"298",9,"",26,"",1,1,1,"1473903993",""
"301",36,1,"","",1,1,1,"1473904143",""
"302",19,"",4,"",1,1,1,"1473905285",""
"303","",1,30,"",1,1,1,"1473904203",""
"304",18,1,17,"",1,1,1,"1473904888",true
"305",2,2,29,"",1,1,1,"1473904665",""
"306",7,"",30,"",1,1,1,"1473904418",""
"307",23,2,4,"",1,1,1,"1473905248",""
"308",8,2,17,"",1,1,1,"1473903634",""
"309","",2,39,"",1,1,1,"1473903944",""
"310","",2,34,"",1,1,1,"1473902367",""
"311",20,"",11,"",1,1,1,"1473905113",""
"312",22,1,8,"",1,1,1,"1473904756",""
"313",22,"",1,"",1,1,1,"1473902584",""
"315",1,1,27,"",1,1,1,"1473903092",""
"316",15,1,27,"",1,1,1,"1473904031",""
"317",26,1,"","",1,1,1,"1473904540",""
"319",2,"",31,"",1,1,1,"1473904675",""
"320",28,1,10,"",1,1,1,"1473904806",""
"321",3,1,23,"",1,1,1,"1473903195",""
"322",4,1,26,"",1,1,1,"1473905151",""
"323","",3,36,"",1,1,1,"1473904652",""
"324",12,3,36,"",1,1,1,"1473905277",""
"325",30,1,4,"",1,1,1,"1473905206",""
"326",23,3,1,"",1,1,1,"1473905293",""
"327",3,2,34,"",1,1,1,"1473905271",true
"328","","","","",1,"","","0",""
"329",3,2,26,"",1,1,1,"1473905286",""
"330",1,2,36,"",1,1,1,"1473905241",""
"331",16,"",11,"",1,1,1,"1473905215",""
"332",19,"",5,"",1,1,1,"1473903074",""
"334",2,2,27,"",1,1,1,"1473905299",""
"335","","",27,"",1,1,1,"1473903698",""
"336",18,"",18,"",1,1,1,"1473905316",""
"337","","",37,"",1,1,1,"1473903593",""
"339",17,"",7,"",1,1,1,"1473904636",""
"340",20,4,3,"",1,1,1,"1473904364",""
"341",16,1,2,"",1,1,1,"1473905275",""
"342",24,2,3,"",1,1,1,"1473904360",""
"343",11,"",12,"",1,1,1,"1473904587",""
"344",6,"",17,"",1,1,1,"1473904844",""
"345",14,1,20,"",1,1,1,"1473905306",""
"346",24,1,2,"",1,1,1,"1473904817",""
"347",5,1,29,"",1,1,1,"1473904959",""
"348",7,3,32,"",1,1,1,"1473904051",""
"349",23,"","","",1,1,1,"1473904247",""
"350",18,"",10,"",1,1,1,"1473905162",""
"351",3,1,35,"",1,1,1,"1473903827",""
"352","","","",3,1,"","","1472815994",""
"353",5,"",22,"",1,1,1,"1473904210",""
"354",22,"",1,"",1,1,1,"1473904751",""
"355",9,1,33,"",1,1,1,"1473904199",""
"356",10,"",13,"",1,1,1,"1473904900",""
"357",1,1,25,"",1,1,1,"1473905298",""
"358",34,"",2,"",1,1,1,"1473905221",""
"359","",1,54,"",1,1,1,"1473903977",""
"360",6,"",33,"",1,1,1,"1473903942",""
"361",31,1,11,"",1,1,1,"1473904986",""
"362","","",57,"",1,1,1,"1473897885",""
"363",44,"",5,"",1,1,1,"1473905071",""
"364",15,"",12,"",1,1,1,"1473905156",""
"365",15,1,15,"",1,1,1,"1473903994",""
"366",32,"",1,"",1,1,1,"1473905160",""
"367",1,2,31,"",1,1,1,"1473905187",""
"368",20,1,18,"",1,1,1,"1473905154",true
"369",27,"",8,"",1,1,1,"1473904822",""
"372",15,1,11,"",1,1,1,"1473904703",""
"373",12,"",7,"",1,1,1,"1473901635",""
"376",4,2,36,1,1,1,1,"1473904716",""
"377",42,3,2,"",1,1,1,"1473904968",""
"379",21,1,19,1,1,1,1,"1473905283",""
"380",39,"","","",1,1,1,"1473905232",""
"382",4,5,27,"",1,1,1,"1473905022",""
"383",28,1,10,"",1,1,1,"1473905069",""
"384",20,"",11,"",1,1,1,"1473904935",""
"385",8,"",20,1,1,1,1,"1473904696",""
"386",1,2,40,"",1,1,1,"1473904885",""
"387",1,3,35,"",1,1,1,"1473904740",true
"388",8,"",27,"",1,1,1,"1473905146",""
"389",11,"",16,"",1,1,1,"1473905163",""
"390",2,1,28,"",1,1,1,"1473904287",""
"391",5,1,25,"",1,1,1,"1473905085",""
"392","","","","",1,"","","0",""
"393",19,1,11,"",1,1,1,"1473905298",""
"394",24,"",8,"",1,1,1,"1473905140",""
"395",3,"",27,"",1,1,1,"1473904532",""
"396",10,1,14,"",1,1,1,"1473902112",""
"397",17,"",10,"",1,1,1,"1473904628",""
"398",7,1,23,"",1,1,1,"1473904969",""
"399",11,"",16,"",1,1,1,"1473905059",""
"400",14,1,"","",1,1,1,"1473902871",""
"401",30,"",12,"",1,1,1,"1473905100",""
"402",1,1,39,"",1,1,1,"1473904887",""
"405",10,1,29,"",1,1,1,"1473904968",""
"406",13,1,20,"",1,1,1,"1473904719",""
"407",2,"",35,"",1,1,1,"1473901569",""
"408",19,1,3,"",1,1,1,"1473903784",""
"409",9,"",10,"",1,1,1,"1473905282",""
"410",24,2,9,"",1,1,1,"1473905114",""
"411",18,"",4,1,1,1,1,"1473904314",""
"412",5,1,23,"",1,1,1,"1473905278",""
"414",8,"",16,"",1,1,1,"1473905273",""
"415",4,1,36,1,1,1,1,"1473905315",""
"416",7,"",24,"",1,1,1,"1473905019",""
"417",6,1,16,"",1,1,1,"1473905287",""
"418",13,1,9,"",1,1,1,"1473904016",""
"419",16,"",7,"",1,1,1,"1473903038",""
"420",11,"",12,"",1,1,1,"1473899146",""
"421",11,"",8,"",1,1,1,"1473901385",""
"422",6,"",49,"",1,1,1,"1473905091",""
"423",14,"",25,"",1,1,1,"1473904872",""
"426",5,"",26,"",1,1,1,"1473905296",true
"427",13,"",34,"",1,1,1,"1473904868",""
"428","","",31,"",1,"","","1473159738",""
"430",1,1,25,"",1,1,1,"1473905159",""
"432","","","","",1,"","","0",""
"433",38,1,"","",1,1,1,"1473904809",""
"434",9,1,17,"",1,1,1,"1473904926",""
"435","",1,46,"",1,1,1,"1473905307",true
"436",7,"",20,"",1,1,1,"1473905258",""
"437",10,"",14,"",1,1,1,"1473903076",""
"438",25,1,1,"",1,1,1,"1473905248",""
"439","",1,14,"",1,"","","1468246416",""
"440",2,1,29,"",1,1,1,"1473903140",""
"441",18,"",17,"",1,1,1,"1473904639",""
"442",1,"",50,"",1,1,1,"1473905096",""
"443",11,"",12,"",1,1,1,"1473903268",""
"444","",4,48,"",1,1,1,"1473904281",true
"445",36,"",5,1,1,1,1,"1473904986",""
"446",1,"",38,"",1,1,1,"1473904573",""
"447","",2,29,"",1,1,1,"1473904635",""
"448","","","","",1,"","","0",""
"449",7,"",24,"",1,1,1,"1473905240",""
"450",11,"",48,"",1,1,1,"1473905275",""
"453",37,1,1,"",1,1,1,"1473905118",""
"454",26,1,8,"",1,1,1,"1473904707",""
"455",3,1,35,"",1,1,1,"1473905291",""
"456","",1,34,"",1,1,1,"1473901013",""
"457","",1,38,"",1,1,1,"1473904670",true
"458","",4,27,"",1,1,1,"1473902790",""
"459",13,"",36,"",1,1,1,"1473905221",true
"460",13,2,8,"",1,1,1,"1473904844",""
"461",27,1,11,"",1,1,1,"1473905105",""
"462",44,3,"","",1,1,1,"1473904517",""
"465","","",39,"",1,1,1,"1473905286",""
"466",2,"",33,"",1,1,1,"1473905137",""
"467","",1,33,"",1,1,1,"1473904471",""
"468",3,"",56,"",1,1,1,"1473905098",""
"469","","",57,"",1,1,1,"1473905188",""
"470",35,2,"","",1,1,1,"1473905135",""
"471",11,"",20,"",1,1,1,"1473904189",""
"472",1,"",40,"",1,1,1,"1473904943",""
"473",33,"",5,"",1,1,1,"1473905285",""
"474","","",39,"",1,1,1,"1473905220",""
"475",10,"",27,"",1,1,1,"1473905165",""
"476",15,1,31,"",1,1,1,"1473905273",""
"477",43,3,13,"",1,1,1,"1473905309",""
"478",30,1,"","",1,1,1,"1473905297",""
"479",27,1,3,"",1,1,1,"1473905305",""
"480",25,2,"","",1,1,1,"1473902227",""
"481",7,"",18,"",1,1,1,"1473904705",""
"482",14,3,22,"",1,1,1,"1473905040",""
"483",24,1,10,"",1,1,1,"1473905142",""
"484",1,1,42,"",1,1,1,"1473903377",""
"485",1,"",38,"",1,1,1,"1473904965",""
"486","",2,37,"",1,1,1,"1473903044",""
"487","","","","",1,"","","0",""
"488",40,1,"","",1,1,1,"1473905272",""
"490",32,4,23,"",1,1,1,"1473905305",""
"491",1,"",52,"",1,1,1,"1473905258",""
"492",42,1,6,"",1,1,1,"1473905313",""
"493","",1,33,"",1,1,1,"1473904781",""
"494",7,4,24,"",1,1,1,"1473905314",""
"495",25,"","","",1,1,1,"1473903210",""
"496","",4,43,"",1,1,1,"1473904262",""
"497","",3,56,"",1,1,1,"1473905038",true
"498","","",30,"",1,1,1,"1473904979",""
"499","",2,34,"",1,1,1,"1473903956",true
"500","","",52,"",1,1,1,"1473904914",""
"501",32,3,8,"",1,1,1,"1473904189",""
"502",28,1,1,"",1,1,1,"1473905253",""
"503","",2,27,"",1,1,1,"1473905187",""
"504","","","",1,1,"","","1472728457",""
"505",1,1,34,"",1,1,1,"1473905314",true
"507",36,2,9,"",1,1,1,"1473905277",""
"508",18,3,3,"",1,1,1,"1473905276",""
"509",34,2,"","",1,1,1,"1473904637",""
"510","","","",27,1,"","","1471270351",""
"511",6,1,26,"",1,1,1,"1473905186",""
"513",8,1,16,2,1,1,1,"1473904895",""
"514",33,4,16,"",1,1,1,"1473905293",""
"515",31,1,3,"",1,1,1,"1473905307",""
"516",10,4,17,"",1,1,1,"1473904271",""
"517",14,3,42,"",1,1,1,"1473905283",""
"518","","",39,"",1,1,1,"1473904558",""
"519",2,4,55,"",1,1,1,"1473905171",true
"520","",1,38,"",1,1,1,"1473903549",""
"522","",3,48,"",1,1,1,"1473896488",""
"523",40,5,6,"",1,1,1,"1473905145",""
"524","",1,56,"",1,1,1,"1473904439",""
"525",15,2,22,"",1,1,1,"1473905242",""
"526",1,"",38,"",1,1,1,"1473904082",""
"527",9,"",50,"",1,1,1,"1473905047",""
"528",10,"",29,"",1,1,1,"1473904490",""
"529",41,"","","",1,1,1,"1473905102",""
"530",23,1,12,"",1,1,1,"1473904124",""
"531",31,1,7,"",1,1,1,"1473905098",""
"532",29,1,13,"",1,1,1,"1473904850",true
"533","",1,49,"",1,1,1,"1473904748",""
"534",1,"",30,"",1,1,1,"1473903660",""
"536",2,"",27,"",1,1,1,"1473905169",""
"537","",4,35,"",1,1,1,"1473904918",""
"539",10,"",21,"",1,1,1,"1473904944",""
"540","",1,29,"",1,1,1,"1473904794",""
"545","","","","",1,"","","0",""
"546",2,"",36,"",1,1,1,"1473905286",""
"2000",15,"",15,"",1,1,1,"1473905187",""
"2001",6,"",9,"",1,1,1,"1473903486",""
"2002",11,"",16,"",1,1,1,"1473905171",""
"2003","","","","",1,"","","0",""
"2004",4,1,31,"",1,1,1,"1473904044",""
"2005",3,1,8,"",1,1,1,"1473887082",""
"2006",1,2,46,"",1,1,1,"1473905227",true
"2008",18,2,4,"",1,1,1,"1473905181",true
"2009",22,"",13,"",1,1,1,"1473905270",""
"2010",3,2,34,"",1,1,1,"1473904770",""
